# Minitial =  1.00 msun, Z = 0.0200, Mfinal = 0.564 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -6.9849193E-10  1.4590514E-03  1.4590521E-03  1.6211682E-03  1.6213050E-03 -3.6630190E-05
   ne21     21   3.4444838E-09  3.7223599E-06  3.7189154E-06  4.1359554E-06  4.1324747E-06  3.6561480E-04
   ne22     22  -1.5053374E-06  1.1583268E-04  1.1733802E-04  1.2870297E-04  1.3038651E-04 -5.6440909E-03
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.1512908E-32  1.1512908E-32  0.0000000E+00  1.2792120E-32  0.0000000E+00  0.0000000E+00
   na23     23   1.5737260E-06  3.1667161E-05  3.0093435E-05  3.5185734E-05  3.3439956E-05  2.2100938E-02
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -1.7462298E-10  4.6404405E-04  4.6404422E-04  5.1560451E-04  5.1564793E-04 -3.6578414E-05
   mg25     25  -8.3782652E-09  6.0977640E-05  6.0986018E-05  6.7752931E-05  6.7767927E-05 -9.6099349E-05
   mg26     26   8.7165972E-09  6.9961992E-05  6.9953276E-05  7.7735553E-05  7.7732388E-05  1.7705643E-05
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   4.8227416E-12  4.8227416E-12  0.0000000E+00  5.3586020E-12  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   7.6397555E-11  5.2331532E-05  5.2331456E-05  5.8146150E-05  5.8150938E-05 -3.5749996E-05
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   9.3132257E-10  5.8875664E-04  5.8875571E-04  6.5417407E-04  6.5422792E-04 -3.5749996E-05
   si29     29   2.5465852E-11  3.0887568E-05  3.0887542E-05  3.4319521E-05  3.4322369E-05 -3.6034762E-05
   si30     30   4.1836756E-11  2.1206935E-05  2.1206894E-05  2.3563261E-05  2.3565191E-05 -3.5568777E-05
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   1.3642421E-12  7.3528181E-06  7.3528167E-06  8.1697981E-06  8.1704811E-06 -3.6319536E-05
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32   5.8207661E-11  3.5688508E-04  3.5688502E-04  3.9653899E-04  3.9657217E-04 -3.6345420E-05
    s33     33   2.7284841E-12  2.9050921E-06  2.9050893E-06  3.2278801E-06  3.2281480E-06 -3.6034762E-05
    s34     34  -1.3096724E-10  1.6844858E-04  1.6844871E-04  1.8716509E-04  1.8718094E-04 -3.6759629E-05
    s35     35   7.6107428E-20  7.6107428E-20  0.0000000E+00  8.4563811E-20  0.0000000E+00  0.0000000E+00
   fe54     54   5.8207661E-11  6.4300977E-05  6.4300919E-05  7.1445531E-05  7.1451461E-05 -3.6034762E-05
   fe55     55   3.4367661E-18  3.4367661E-18  0.0000000E+00  3.8186293E-18  0.0000000E+00  0.0000000E+00
   fe56     56   3.9581209E-09  1.0543210E-03  1.0543170E-03  1.1714677E-03  1.1715617E-03 -3.4818026E-05
